raw_status_source,comet_id,comet_name,designation,apparition_year,perihelion_date,discovery_date,raw_aerith_status,sbdb_pdes,sbdb_prefix,query_pdes,merged_fragments,is_periodic,expected,seen,event_case,status_mapping_confidence,manual_review_status,status_notes,apparition_id,apparition_id_source
AERITH,11P,11P/Tempel-Swift-LINEAR,0011P/?,1886,1886-05-11,,Not observed,,,11P,,True,True,False,expected_not_seen,high,False,,11P_1886,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,11P/1880 T1,1880,1880-11-08,,Appeared,,,11P,,True,True,True,expected_seen,high,False,,11P_1880,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,0011P/?,1875,1875-05-15,,Not observed,,,11P,,True,True,False,expected_not_seen,high,False,,11P_1875,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,11P/1869 W1,1869,1869-11-19,,Discovered,,,11P,,True,False,True,unexpected_seen,high,False,,11P_1869,perihelion
AERITH,12P,12P/Pons-Brooks,12P/1883 R1,1884,1884-01-26,,Appeared,,,12P,,True,True,True,expected_seen,high,False,,12P_1884,perihelion
AERITH,13P,13P/Olbers,13P/1887 Q1,1887,1887-10-08,,Appeared,,,13P,,True,True,True,expected_seen,high,False,,13P_1887,perihelion
AERITH,14P,14P/Wolf,14P,1934,1934-02-27,,Appeared,,,14P,,True,True,True,expected_seen,high,False,,14P_1934,perihelion
AERITH,14P,14P/Wolf,14P,1925,1925-11-08,,Appeared,,,14P,,True,True,True,expected_seen,high,False,,14P_1925,perihelion
AERITH,14P,14P/Wolf,14P,1918,1918-12-13,,Appeared,,,14P,,True,True,True,expected_seen,high,False,,14P_1918,perihelion
AERITH,14P,14P/Wolf,14P,1912,1912-02-24,,Appeared,,,14P,,True,True,True,expected_seen,high,False,,14P_1912,perihelion
AERITH,14P,14P/Wolf,0014P/?,1905,1905-05-04,,Not observed,,,14P,,True,True,False,expected_not_seen,high,False,,14P_1905,perihelion
AERITH,14P,14P/Wolf,14P,1898,1898-07-05,,Appeared,,,14P,,True,True,True,expected_seen,high,False,,14P_1898,perihelion
AERITH,14P,14P/Wolf,14P/1891 J1,1891,1891-09-03,,Appeared,,,14P,,True,True,True,expected_seen,high,False,,14P_1891,perihelion
AERITH,14P,14P/Wolf,14P/1884 S1,1884,1884-11-18,,Discovered,,,14P,,True,False,True,unexpected_seen,high,False,,14P_1884,perihelion
AERITH,15P,15P/Finlay,0015P/?,1940,1940-04-25,,Not observed,,,15P,,True,True,False,expected_not_seen,high,False,,15P_1940,perihelion
AERITH,15P,15P/Finlay,0015P/?,1933,1933-06-16,,Not observed,,,15P,,True,True,False,expected_not_seen,high,False,,15P_1933,perihelion
AERITH,15P,15P/Finlay,15P,1926,1926-08-07,,Appeared,,,15P,,True,True,True,expected_seen,high,False,,15P_1926,perihelion
AERITH,15P,15P/Finlay,15P,1919,1919-10-15,,Appeared,,,15P,,True,True,True,expected_seen,high,False,,15P_1919,perihelion
AERITH,15P,15P/Finlay,0015P/?,1913,1913-02-07,,Not observed,,,15P,,True,True,False,expected_not_seen,high,False,,15P_1913,perihelion
AERITH,15P,15P/Finlay,15P,1906,1906-09-08,,Appeared,,,15P,,True,True,True,expected_seen,high,False,,15P_1906,perihelion
AERITH,15P,15P/Finlay,0015P/?,1900,1900-02-17,,Not observed,,,15P,,True,True,False,expected_not_seen,high,False,,15P_1900,perihelion
AERITH,15P,15P/Finlay,15P/1893 K1,1893,1893-07-12,,Appeared,,,15P,,True,True,True,expected_seen,high,False,,15P_1893,perihelion
AERITH,15P,15P/Finlay,15P/1886 S1,1886,1886-11-22,,Discovered,,,15P,,True,False,True,unexpected_seen,high,False,,15P_1886,perihelion
AERITH,16P,16P/Brooks 2,16P,1939,1939-09-15,,Appeared,,,16P,,True,True,True,expected_seen,high,False,,16P_1939,perihelion
AERITH,16P,16P/Brooks 2,16P,1932,1932-10-09,,Appeared,,,16P,,True,True,True,expected_seen,high,False,,16P_1932,perihelion
AERITH,16P,16P/Brooks 2,16P,1925,1925-11-01,,Appeared,,,16P,,True,True,True,expected_seen,high,False,,16P_1925,perihelion
AERITH,16P,16P/Brooks 2,0016P/?,1918,1918-02-13,,Not observed,,,16P,,True,True,False,expected_not_seen,high,False,,16P_1918,perihelion
AERITH,16P,16P/Brooks 2,16P,1911,1911-01-08,,Appeared,,,16P,,True,True,True,expected_seen,high,False,,16P_1911,perihelion
