comet_id,comet_name,apparition_id,apparition_year,perihelion_date,peak_mag_n,predicted,event_case,max_salience,peak_month_offset,integ_above_p75,lead_time_p75,lead_time_p90,preperi_max
31P,31P/Schwassmann-Wachmann 2,31P_1935,1935,1935-08-28,12.552382501761432,True,expected_seen,0.2,1,0.03729867100862533,-2.0,,0.1739130434782608
31P,31P/Schwassmann-Wachmann 2,31P_1929,1929,1929-03-23,11.268850514015789,False,unexpected_seen,0.1351351351351351,-5,0.0,,,0.1351351351351351
32P,32P/Comas Sola,32P_1935,1935,1935-10-06,12.80577989223834,True,expected_seen,0.2,-1,0.03729867100862533,-4.0,,0.2
32P,32P/Comas Sola,32P_1927,1927,1927-03-22,12.370106164960465,False,unexpected_seen,0.4285714285714285,3,0.31146925122374414,2.0,3.0,0.09375
33P,33P/Daniel,33P_1937,1937,1937-01-27,11.44657525566774,True,expected_seen,0.2352941176470588,-5,0.09867974517742331,-5.0,,0.2352941176470588
33P,33P/Daniel,33P_1909,1909,1909-11-29,9.031578878239907,False,unexpected_seen,0.8865295288652952,6,3.5532188633174515,-2.0,-1.0,0.4166666666666667
34D,34D/Gale,34D_1938,1938,1938-06-18,6.97150032741094,True,expected_seen,0.1333333333333333,-2,0.0,,,0.1333333333333333
34D,34D/Gale,34D_1927,1927,1927-06-14,7.75546378705577,False,unexpected_seen,0.4285714285714285,0,0.35744777927464055,-1.0,0.0,0.2195121951219512
35P,35P/Herschel-Rigollet,35P_1939,1939,1939-08-09,6.89568822924691,False,unexpected_seen,0.1875,-4,0.019192813765182254,-4.0,,0.1875
36P,36P/Whipple,36P_1933,1933,1933-08-01,13.095658927708993,False,unexpected_seen,0.2142857142857142,1,0.045978528050896444,1.0,,0.1388888888888889
37P,37P/Forbes,37P_1929,1929,1929-06-26,10.456063268678427,False,unexpected_seen,0.0975609756097561,2,0.0,,,0.0909090909090909
38P,38P/Stephan-Oterma,38P_1867,1867,1867-01-20,11.014282650443675,False,unexpected_seen,0.1666666666666666,2,0.0,,,0.0350877192982456
40P,40P/Vaisala 1,40P_1939,1939,1939-04-26,14.583800329901637,False,unexpected_seen,0.1875,0,0.019192813765182254,0.0,,0.1333333333333333
41P,41P/Tuttle-Giacobini-Kresak,41P_1907,1907,1907-05-29,11.609575688200852,True,expected_seen,0.1568627450980392,-2,0.0,,,0.1568627450980392
41P,41P/Tuttle-Giacobini-Kresak,41P_1858,1858,1858-05-03,10.170974896771275,False,unexpected_seen,0.873015873015873,4,2.419537819144191,-5.0,-5.0,0.3636363636363636
42P,42P/Neujmin 3,42P_1929,1929,1929-06-28,14.064250858040689,False,unexpected_seen,0.0975609756097561,2,0.0,,,0.0909090909090909
43P,43P/Wolf-Harrington,43P_1925,1925,1925-01-11,15.491,False,unexpected_seen,0.1621621621621621,-3,0.0,,,0.1621621621621621
54P,54P/de Vico-Swift-NEAT,54P_1894,1894,1894-10-12,10.98016083785318,True,expected_seen,0.1941747572815534,2,0.02586757104673565,2.0,,0.1648351648351648
55P,55P/Tempel-Tuttle,55P_1866,1866,1866-01-11,4.601142914576935,False,unexpected_seen,0.4,-2,0.3950784412955468,-4.0,-2.0,0.4
58P,58P/Jackson-Neujmin,58P_1936,1936,1936-10-03,13.382347843675024,False,unexpected_seen,0.2352941176470588,-2,0.15259478116482778,-3.0,,0.2352941176470588
64P,64P/Swift-Gehrels,64P_1889,1889,1889-11-30,10.853312660394282,False,unexpected_seen,0.3636363636363636,2,0.32434591270798174,-4.0,2.0,0.2586206896551724
69P,69P/Taylor,69P_1916,1916,1916-01-31,9.85308570848554,False,unexpected_seen,0.328125,-4,0.20559281186192435,-4.0,-4.0,0.328125
72P,72P/Denning-Fujikawa,72P_1881,1881,1881-09-13,4.783619887162266,False,unexpected_seen,0.7070707070707071,-1,2.2807730902703853,-3.0,-3.0,0.7070707070707071
