modern_pdes,comet_id,comet_name,perihelion_date,apparition_year,is_periodic,raw_status_source,event_case,current_magnitude_provenance,sbdb_M1,sbdb_K1,sbdb_nuclear_biased,current_modeled_peak_mag,priority
1874 G1,C/1874 G1,C/1874 G1 (Winnecke),1874-03-14,1874,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1874 H1,C/1874 H1,C/1874 H1 (Coggia),1874-07-09,1874,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1874 O1,C/1874 O1,C/1874 O1 (Borrelly),1874-08-27,1874,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1874 Q1,C/1874 Q1,C/1874 Q1 (Coggia),1874-07-18,1874,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1874 X1,C/1874 X1,C/1874 X1 (Borrelly),1874-10-19,1874,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
11P,11P,11P/Tempel-Swift-LINEAR,1875-05-15,1875,True,AERITH,expected_not_seen,horizons_tmag,15.2,20.0,False,17.344,medium_sbdb_good
2P,2P,2P/Encke,1875-04-13,1875,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.0,high_nuclear_biased
7P,7P,7P/Pons-Winnecke,1875-03-12,1875,True,AERITH,expected_seen,horizons_tmag,16.0,4.5,True,16.391,high_nuclear_biased
226P,226P,226P/Pigott-LINEAR-Kowalski,1876-03-19,1876,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,16.365,medium_sbdb_good
289P,289P,289P/Blanpain,1877-05-19,1877,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,23.272,high_nuclear_biased
54P,54P,54P/de Vico-Swift-NEAT,1877-07-13,1877,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,15.239,medium_sbdb_good
6P,6P,6P/d'Arrest,1877-05-10,1877,True,AERITH,expected_seen,horizons_tmag,15.9,8.5,False,17.992,medium_sbdb_good
80P,80P,80P/Peters-Hartley,1877-12-21,1877,True,AERITH,expected_not_seen,horizons_tmag,11.8,15.75,False,16.613,medium_sbdb_good
1877 C1,C/1877 C1,C/1877 C1 (Borrelly),1877-01-19,1877,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1877 G1,C/1877 G1,C/1877 G1 (Winnecke),1877-04-18,1877,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1877 G2,C/1877 G2,C/1877 G2 (Swift),1877-04-27,1877,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1877 R1,C/1877 R1,C/1877 R1 (Coggia),1877-09-11,1877,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1877 T1,C/1877 T1,C/1877 T1 (Tempel),1877-06-27,1877,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
10P,10P,10P/Tempel 2,1878-09-07,1878,True,AERITH,expected_seen,horizons_tmag,14.7,4.5,True,14.74,high_nuclear_biased
26P,26P,26P/Grigg-Skjellerup,1878-03-09,1878,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,15.796,high_nuclear_biased
2P,2P,2P/Encke,1878-07-26,1878,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,14.002,high_nuclear_biased
1878 N1,C/1878 N1,C/1878 N1 (Swift),1878-07-21,1878,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
3D,3D,3D/Biela,1879-05-30,1879,True,AERITH,expected_not_seen,horizons_tmag,7.1,10.0,False,7.736,medium_sbdb_good
41P,41P,41P/Tuttle-Giacobini-Kresak,1879-09-20,1879,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,18.752,high_nuclear_biased
5D,5D,5D/Brorsen,1879-03-31,1879,True,AERITH,expected_seen,horizons_tmag,8.3,10.0,False,5.966,medium_sbdb_good
